r1,r2,a1,r3,a2,d1,E,grad_variance
1.000000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,-39.533803473540,0.001476112289
1.100000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,-39.537522093502,0.001614174404
1.200000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,-39.528667638435,0.002755493196
1.300000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,-39.513049883597,0.003634950578
1.400000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,-39.494202168475,0.004133874276
1.500000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,-39.474488283985,0.004491689671
1.600000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,-39.456021331872,0.004648682876
1.700000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,-39.440699980254,0.003880906103
1.800000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,,
1.900000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,-39.385630042833,0.002443964701
2.000000000000,1.000000000000,120.000000000000,1.000000000000,-120.000000000000,0.000000000000,-39.367803242174,0.002775497195
